node_id,x,y,head(m),pressure(kPa),velocity_x(m/s),velocity_y(m/s),gradient
0,-20.0000,-10.0000,26.7418,360.4374,3.696371e-10,-3.870038e-10,0.000021
1,-17.9890,-10.0000,26.7418,360.4366,7.785606e-10,-4.280974e-10,0.000059
2,-15.9780,-10.0000,26.7415,360.4340,1.722461e-09,-5.599085e-10,0.000103
3,-13.9670,-10.0000,26.7410,360.4291,3.031361e-09,-8.095886e-10,0.000172
4,-11.9560,-10.0000,26.7401,360.4208,4.979839e-09,-1.227650e-09,0.000278
5,-9.9451,-10.0000,26.7388,360.4074,7.970768e-09,-1.895790e-09,0.000441
6,-7.9341,-10.0000,26.7366,360.3862,1.260739e-08,-2.936483e-09,0.000695
7,-5.9231,-10.0000,26.7332,360.3527,1.978520e-08,-4.518913e-09,0.001088
8,-3.9121,-10.0000,26.7279,360.3006,3.078780e-08,-6.846237e-09,0.001685
9,-1.9011,-10.0000,26.7197,360.2204,4.732737e-08,-1.009821e-08,0.002573
10,0.1099,-10.0000,26.7074,360.0992,7.140986e-08,-1.434685e-08,0.003848
11,2.1209,-10.0000,26.6891,359.9201,1.050364e-07,-1.946174e-08,0.005601
12,4.1319,-10.0000,26.6629,359.6632,1.496880e-07,-2.505367e-08,0.007894
13,6.1429,-10.0000,26.6266,359.3071,2.058011e-07,-3.055975e-08,0.010736
14,8.1538,-10.0000,26.5780,358.8304,2.725937e-07,-3.538392e-08,0.014084
15,10.1648,-10.0000,26.5152,358.2145,3.481063e-07,-3.908551e-08,0.017841
16,12.1758,-10.0000,26.4368,357.4449,4.297856e-07,-4.152745e-08,0.021889
17,14.1868,-10.0000,26.3417,356.5117,5.151205e-07,-4.284115e-08,0.026112
18,16.1978,-10.0000,26.2293,355.4093,6.020858e-07,-4.334309e-08,0.030416
19,18.2088,-10.0000,26.0994,354.1353,6.894421e-07,-4.338734e-08,0.034745
20,20.2198,-10.0000,25.9520,352.6894,7.765873e-07,-4.324399e-08,0.039070
21,22.2308,-10.0000,25.7872,351.0720,8.633684e-07,-4.308116e-08,0.043383
22,24.2418,-10.0000,25.6048,349.2835,9.498592e-07,-4.297082e-08,0.047687
23,26.2527,-10.0000,25.4052,347.3246,1.036197e-06,-4.292809e-08,0.051988
24,28.2637,-10.0000,25.1881,345.1952,1.122515e-06,-4.294409e-08,0.056290
25,30.2747,-10.0000,24.9537,342.8954,1.208917e-06,-4.299902e-08,0.060599
26,32.2857,-10.0000,24.7018,340.4251,1.295457e-06,-4.306900e-08,0.064916
27,34.2967,-10.0000,24.4326,337.7839,1.382139e-06,-4.312785e-08,0.069242
28,36.3077,-10.0000,24.1459,334.9716,1.468916e-06,-4.314826e-08,0.073573
29,38.3187,-10.0000,23.8418,331.9882,1.555680e-06,-4.310241e-08,0.077903
30,40.3297,-10.0000,23.5203,328.8339,1.642272e-06,-4.296272e-08,0.082226
31,42.3407,-10.0000,23.1814,325.5093,1.728475e-06,-4.270235e-08,0.086529
32,44.3516,-10.0000,22.8252,322.0154,1.814019e-06,-4.229545e-08,0.090800
33,46.3626,-10.0000,22.4520,318.3538,1.898585e-06,-4.171740e-08,0.095021
34,48.3736,-10.0000,22.0619,314.5270,1.981804e-06,-4.094496e-08,0.099175
35,50.3846,-10.0000,21.6552,310.5380,2.063263e-06,-3.995664e-08,0.103241
36,52.3956,-10.0000,21.2325,306.3906,2.142507e-06,-3.873319e-08,0.107195
37,54.4066,-10.0000,20.7941,302.0898,2.219045e-06,-3.725809e-08,0.111015
38,56.4176,-10.0000,20.3406,297.6415,2.292356e-06,-3.551820e-08,0.114673
39,58.4286,-10.0000,19.8728,293.0526,2.361896e-06,-3.350432e-08,0.118142
40,60.4396,-10.0000,19.3915,288.3310,2.427108e-06,-3.121187e-08,0.121396
41,62.4505,-10.0000,18.8976,283.4858,2.487428e-06,-2.864134e-08,0.124404
42,64.4615,-10.0000,18.3922,278.5273,2.542301e-06,-2.579882e-08,0.127141
43,66.4725,-10.0000,17.8763,273.4667,2.591188e-06,-2.269627e-08,0.129579
44,68.4835,-10.0000,17.3513,268.3163,2.633583e-06,-1.935164e-08,0.131693
45,70.4945,-10.0000,16.8185,263.0893,2.669019e-06,-1.578876e-08,0.133460
46,72.5055,-10.0000,16.2793,257.7999,2.697083e-06,-1.203704e-08,0.134860
47,74.5165,-10.0000,15.7353,252.4629,2.717430e-06,-8.130834e-09,0.135874
48,76.5275,-10.0000,15.1879,247.0937,2.729785e-06,-4.108622e-09,0.136490
49,78.5385,-10.0000,14.6390,241.7083,2.733954e-06,-1.195443e-11,0.136698
50,80.5495,-10.0000,14.0900,236.3229,2.729833e-06,4.115760e-09,0.136492
51,82.5604,-10.0000,13.5427,230.9538,2.717401e-06,8.230589e-09,0.135873
52,84.5714,-10.0000,12.9987,225.6173,2.696730e-06,1.228945e-08,0.134842
53,86.5824,-10.0000,12.4597,220.3295,2.667974e-06,1.625146e-08,0.133409
54,88.5934,-10.0000,11.9272,215.1060,2.631368e-06,2.007919e-08,0.131584
55,90.6044,-10.0000,11.4029,209.9620,2.587217e-06,2.373977e-08,0.129383
56,92.6154,-10.0000,10.8881,204.9120,2.535888e-06,2.720582e-08,0.126824
57,94.6264,-10.0000,10.3843,199.9697,2.477797e-06,3.045611e-08,0.123927
58,96.6374,-10.0000,9.8928,195.1480,2.413396e-06,3.347603e-08,0.120716
59,98.6484,-10.0000,9.4148,190.4589,2.343159e-06,3.625783e-08,0.117214
60,100.6593,-10.0000,8.9514,185.9133,2.267570e-06,3.880065e-08,0.113445
61,102.6703,-10.0000,8.5037,181.5215,2.187105e-06,4.111039e-08,0.109433
62,104.6813,-10.0000,8.0726,177.2926,2.102226e-06,4.319943e-08,0.105200
63,106.6923,-10.0000,7.6590,173.2349,2.013360e-06,4.508628e-08,0.100769
64,108.7033,-10.0000,7.2636,169.3558,1.920891e-06,4.679507e-08,0.096159
65,110.7143,-10.0000,6.8871,165.6622,1.825152e-06,4.835498e-08,0.091386
66,112.7253,-10.0000,6.5301,162.1604,1.726410e-06,4.979941e-08,0.086464
67,114.7363,-10.0000,6.1933,158.8561,1.624861e-06,5.116454e-08,0.081404
68,116.7473,-10.0000,5.8771,155.7547,1.520627e-06,5.248716e-08,0.076213
69,118.7582,-10.0000,5.5822,152.8615,1.413758e-06,5.380049e-08,0.070893
70,120.7692,-10.0000,5.3090,150.1818,1.304243e-06,5.512624e-08,0.065445
71,122.7802,-10.0000,5.0582,147.7207,1.192042e-06,5.646173e-08,0.059870
72,124.7912,-10.0000,4.8301,145.4837,1.077155e-06,5.775818e-08,0.054168
73,126.8022,-10.0000,4.6255,143.4757,9.597410e-07,5.887957e-08,0.048349
74,128.8132,-10.0000,4.4445,141.7009,8.403461e-07,5.955798e-08,0.042440
75,130.8242,-10.0000,4.2876,140.1615,7.202063e-07,5.939604e-08,0.036500
76,132.8352,-10.0000,4.1546,138.8565,6.014663e-07,5.790483e-08,0.030629
77,134.8462,-10.0000,4.0448,137.7794,4.873271e-07,5.467199e-08,0.024975
78,136.8571,-10.0000,3.9569,136.9174,3.815905e-07,4.956106e-08,0.019716
79,138.8681,-10.0000,3.8889,136.2501,2.880055e-07,4.281478e-08,0.015026
80,140.8791,-10.0000,3.8381,135.7518,2.093975e-07,3.508951e-08,0.011044
81,142.8901,-10.0000,3.8015,135.3925,1.468772e-07,2.724399e-08,0.007834
82,144.9011,-10.0000,3.7760,135.1421,9.981783e-08,2.007519e-08,0.005380
83,146.9121,-10.0000,3.7587,134.9726,6.612627e-08,1.412775e-08,0.003596
84,148.9231,-10.0000,3.7473,134.8606,4.298611e-08,9.581317e-09,0.002353
85,150.9341,-10.0000,3.7398,134.7879,2.758094e-08,6.332717e-09,0.001518
86,152.9451,-10.0000,3.7351,134.7414,1.750842e-08,4.130028e-09,0.000968
87,154.9560,-10.0000,3.7321,134.7119,1.096448e-08,2.690495e-09,0.000611
88,156.9670,-10.0000,3.7302,134.6937,6.683439e-09,1.780553e-09,0.000379
89,158.9780,-10.0000,3.7291,134.6829,3.800485e-09,1.233989e-09,0.000227
90,160.9890,-10.0000,3.7286,134.6771,1.718485e-09,9.445678e-10,0.000131
91,163.0000,-10.0000,3.7284,134.6754,8.160192e-10,8.542189e-10,0.000047
92,-20.0000,-8.0000,26.7420,340.8189,2.992561e-10,-7.003649e-10,0.000072
93,-17.9890,-8.0000,26.7419,340.8182,6.304096e-10,-7.748473e-10,0.000174
94,-15.9780,-8.0000,26.7417,340.8161,1.395160e-09,-1.013879e-09,0.000259
95,-13.9670,-8.0000,26.7413,340.8121,2.456975e-09,-1.467200e-09,0.000404
96,-11.9560,-8.0000,26.7406,340.8054,4.041075e-09,-2.227932e-09,0.000636
97,-9.9451,-8.0000,26.7395,340.7945,6.481623e-09,-3.448557e-09,0.001000
98,-7.9341,-8.0000,26.7377,340.7772,1.028862e-08,-5.362976e-09,0.001570
