node_id,x,y,head(m),pressure(kPa),velocity_x(m/s),velocity_y(m/s),gradient
0,-20.0000,-10.0000,0.0000,98.1000,0.000000e+00,0.000000e+00,0.000000
1,-17.9890,-10.0000,0.0000,98.1000,0.000000e+00,0.000000e+00,0.000000
2,-15.9780,-10.0000,0.0000,98.1000,0.000000e+00,0.000000e+00,0.000000
3,-13.9670,-10.0000,0.0000,98.1000,0.000000e+00,0.000000e+00,0.000000
4,-11.9560,-10.0000,0.0000,98.1000,0.000000e+00,0.000000e+00,0.000000
5,-9.9451,-10.0000,0.0000,98.1000,0.000000e+00,0.000000e+00,0.000000
6,-7.9341,-10.0000,0.0000,98.1000,0.000000e+00,0.000000e+00,0.000000
7,-5.9231,-10.0000,0.0000,98.1000,0.000000e+00,0.000000e+00,0.000000
8,-3.9121,-10.0000,0.0000,98.1000,0.000000e+00,0.000000e+00,0.000000
9,-1.9011,-10.0000,0.0000,98.1000,0.000000e+00,0.000000e+00,0.000000
10,0.1099,-10.0000,0.0000,98.1000,0.000000e+00,0.000000e+00,0.000000
11,2.1209,-10.0000,0.0000,98.1000,0.000000e+00,0.000000e+00,0.000000
12,4.1319,-10.0000,0.0000,98.1000,0.000000e+00,0.000000e+00,0.000000
13,6.1429,-10.0000,0.0000,98.1000,0.000000e+00,0.000000e+00,0.000000
14,8.1538,-10.0000,0.0000,98.1000,0.000000e+00,0.000000e+00,0.000000
15,10.1648,-10.0000,0.0000,98.1000,0.000000e+00,0.000000e+00,0.000000
16,12.1758,-10.0000,0.0000,98.1000,0.000000e+00,0.000000e+00,0.000000
17,14.1868,-10.0000,0.0000,98.1000,0.000000e+00,0.000000e+00,0.000000
18,16.1978,-10.0000,0.0000,98.1000,0.000000e+00,0.000000e+00,0.000000
19,18.2088,-10.0000,0.0000,98.1000,0.000000e+00,0.000000e+00,0.000000
20,20.2198,-10.0000,0.0000,98.1000,0.000000e+00,0.000000e+00,0.000000
21,22.2308,-10.0000,0.0000,98.1000,0.000000e+00,0.000000e+00,0.000000
22,24.2418,-10.0000,0.0000,98.1000,0.000000e+00,0.000000e+00,0.000000
23,26.2527,-10.0000,0.0000,98.1000,0.000000e+00,0.000000e+00,0.000000
24,28.2637,-10.0000,0.0000,98.1000,0.000000e+00,0.000000e+00,0.000000
25,30.2747,-10.0000,0.0000,98.1000,0.000000e+00,0.000000e+00,0.000000
26,32.2857,-10.0000,0.0000,98.1000,0.000000e+00,0.000000e+00,0.000000
27,34.2967,-10.0000,0.0000,98.1000,0.000000e+00,0.000000e+00,0.000000
28,36.3077,-10.0000,0.0000,98.1000,0.000000e+00,0.000000e+00,0.000000
29,38.3187,-10.0000,0.0000,98.1000,0.000000e+00,0.000000e+00,0.000000
30,40.3297,-10.0000,0.0000,98.1000,0.000000e+00,0.000000e+00,0.000000
31,42.3407,-10.0000,0.0000,98.1000,0.000000e+00,0.000000e+00,0.000000
32,44.3516,-10.0000,0.0000,98.1000,0.000000e+00,0.000000e+00,0.000000
33,46.3626,-10.0000,0.0000,98.1000,0.000000e+00,0.000000e+00,0.000000
34,48.3736,-10.0000,0.0000,98.1000,0.000000e+00,0.000000e+00,0.000000
35,50.3846,-10.0000,0.0000,98.1000,0.000000e+00,0.000000e+00,0.000000
36,52.3956,-10.0000,0.0000,98.1000,0.000000e+00,0.000000e+00,0.000000
37,54.4066,-10.0000,0.0000,98.1000,0.000000e+00,0.000000e+00,0.000000
38,56.4176,-10.0000,0.0000,98.1000,0.000000e+00,0.000000e+00,0.000000
39,58.4286,-10.0000,0.0000,98.1000,0.000000e+00,0.000000e+00,0.000000
40,60.4396,-10.0000,0.0000,98.1000,0.000000e+00,0.000000e+00,0.000000
41,62.4505,-10.0000,0.0000,98.1000,0.000000e+00,0.000000e+00,0.000000
42,64.4615,-10.0000,0.0000,98.1000,0.000000e+00,0.000000e+00,0.000000
43,66.4725,-10.0000,0.0000,98.1000,0.000000e+00,0.000000e+00,0.000000
44,68.4835,-10.0000,0.0000,98.1000,0.000000e+00,0.000000e+00,0.000000
45,70.4945,-10.0000,0.0000,98.1000,0.000000e+00,0.000000e+00,0.000000
46,72.5055,-10.0000,0.0000,98.1000,0.000000e+00,0.000000e+00,0.000000
47,74.5165,-10.0000,0.0000,98.1000,0.000000e+00,0.000000e+00,0.000000
48,76.5275,-10.0000,0.0000,98.1000,0.000000e+00,0.000000e+00,0.000000
49,78.5385,-10.0000,0.0000,98.1000,0.000000e+00,0.000000e+00,0.000000
50,80.5495,-10.0000,0.0000,98.1000,0.000000e+00,0.000000e+00,0.000000
51,82.5604,-10.0000,0.0000,98.1000,0.000000e+00,0.000000e+00,0.000000
52,84.5714,-10.0000,0.0000,98.1000,0.000000e+00,0.000000e+00,0.000000
53,86.5824,-10.0000,0.0000,98.1000,0.000000e+00,0.000000e+00,0.000000
54,88.5934,-10.0000,0.0000,98.1000,0.000000e+00,0.000000e+00,0.000000
55,90.6044,-10.0000,0.0000,98.1000,0.000000e+00,0.000000e+00,0.000000
56,92.6154,-10.0000,0.0000,98.1000,0.000000e+00,0.000000e+00,0.000000
57,94.6264,-10.0000,0.0000,98.1000,0.000000e+00,0.000000e+00,0.000000
58,96.6374,-10.0000,0.0000,98.1000,0.000000e+00,0.000000e+00,0.000000
59,98.6484,-10.0000,0.0000,98.1000,0.000000e+00,0.000000e+00,0.000000
60,100.6593,-10.0000,0.0000,98.1000,0.000000e+00,0.000000e+00,0.000000
61,102.6703,-10.0000,0.0000,98.1000,0.000000e+00,0.000000e+00,0.000000
62,104.6813,-10.0000,0.0000,98.1000,0.000000e+00,0.000000e+00,0.000000
63,106.6923,-10.0000,0.0000,98.1000,0.000000e+00,0.000000e+00,0.000000
64,108.7033,-10.0000,0.0000,98.1000,0.000000e+00,0.000000e+00,0.000000
65,110.7143,-10.0000,0.0000,98.1000,0.000000e+00,0.000000e+00,0.000000
66,112.7253,-10.0000,0.0000,98.1000,0.000000e+00,0.000000e+00,0.000000
67,114.7363,-10.0000,0.0000,98.1000,0.000000e+00,0.000000e+00,0.000000
68,116.7473,-10.0000,0.0000,98.1000,0.000000e+00,0.000000e+00,0.000000
69,118.7582,-10.0000,0.0000,98.1000,0.000000e+00,0.000000e+00,0.000000
70,120.7692,-10.0000,0.0000,98.1000,0.000000e+00,0.000000e+00,0.000000
71,122.7802,-10.0000,0.0000,98.1000,0.000000e+00,0.000000e+00,0.000000
72,124.7912,-10.0000,0.0000,98.1000,0.000000e+00,0.000000e+00,0.000000
73,126.8022,-10.0000,0.0000,98.1000,0.000000e+00,0.000000e+00,0.000000
74,128.8132,-10.0000,0.0000,98.1000,0.000000e+00,0.000000e+00,0.000000
75,130.8242,-10.0000,0.0000,98.1000,0.000000e+00,0.000000e+00,0.000000
76,132.8352,-10.0000,0.0000,98.1000,0.000000e+00,0.000000e+00,0.000000
77,134.8462,-10.0000,0.0000,98.1000,0.000000e+00,0.000000e+00,0.000000
78,136.8571,-10.0000,0.0000,98.1000,0.000000e+00,0.000000e+00,0.000000
79,138.8681,-10.0000,0.0000,98.1000,0.000000e+00,0.000000e+00,0.000000
80,140.8791,-10.0000,0.0000,98.1000,0.000000e+00,0.000000e+00,0.000000
81,142.8901,-10.0000,0.0000,98.1000,0.000000e+00,0.000000e+00,0.000000
82,144.9011,-10.0000,0.0000,98.1000,0.000000e+00,0.000000e+00,0.000000
83,146.9121,-10.0000,0.0000,98.1000,0.000000e+00,0.000000e+00,0.000000
84,148.9231,-10.0000,0.0000,98.1000,0.000000e+00,0.000000e+00,0.000000
85,150.9341,-10.0000,0.0000,98.1000,0.000000e+00,0.000000e+00,0.000000
86,152.9451,-10.0000,0.0000,98.1000,0.000000e+00,0.000000e+00,0.000000
87,154.9560,-10.0000,0.0000,98.1000,0.000000e+00,0.000000e+00,0.000000
88,156.9670,-10.0000,0.0000,98.1000,0.000000e+00,0.000000e+00,0.000000
89,158.9780,-10.0000,0.0000,98.1000,0.000000e+00,0.000000e+00,0.000000
90,160.9890,-10.0000,0.0000,98.1000,0.000000e+00,0.000000e+00,0.000000
91,163.0000,-10.0000,0.0000,98.1000,0.000000e+00,0.000000e+00,0.000000
92,-20.0000,-7.0000,0.0000,68.6700,0.000000e+00,0.000000e+00,0.000000
93,-17.9890,-7.0000,0.0000,68.6700,0.000000e+00,0.000000e+00,0.000000
94,-15.9780,-7.0000,0.0000,68.6700,0.000000e+00,0.000000e+00,0.000000
95,-13.9670,-7.0000,0.0000,68.6700,0.000000e+00,0.000000e+00,0.000000
96,-11.9560,-7.0000,0.0000,68.6700,0.000000e+00,0.000000e+00,0.000000
97,-9.9451,-7.0000,0.0000,68.6700,0.000000e+00,0.000000e+00,0.000000
98,-7.9341,-7.0000,0.0000,68.6700,0.000000e+00,0.000000e+00,0.000000
99,-5.9231,-7.0000,0.0000,68.6700,0.000000e+00,0.000000e+00,0.000000
100,-3.9121,-7.0000,0.0000,68.6700,0.000000e+00,0.000000e+00,0.000000
101,-1.9011,-7.0000,0.0000,68.6700,0.000000e+00,0.000000e+00,0.000000
